N°,id,status,all_images,aired_episodes,seen_episodes,up_to_date,runtime,name
216,299501,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/299501/1130507-0-optimized.jpg,12,0,False,25,Hundred
218,299508,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/299508/1283527-0-optimized.jpg,13,0,False,25,ReLIFE
219,300414,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/300414/1256084-0-optimized.jpg,120,15,False,5,Bloqués
220,300835,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/300835/1148602-0-optimized.jpg,26,0,False,25,Ajin
222,303725,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/303725/1115123-0-optimized.jpg,24,0,False,25,Dagashi Kashi
223,303867,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/303867/1108544-0-optimized.jpg,20,0,False,25,KONOSUBA - God's blessing on this wonderful world!
224,303868,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/303868/1116253-0-optimized.jpg,12,0,False,24,Grimgar of Fantasy and Ash
225,304107,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/304107/1130737-0-optimized.jpg,12,0,False,25,Pandora in the Crimson Shell
226,304479,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/304479/1109737-0-optimized.jpg,24,0,False,25,Spirit Blade Mountain
228,305075,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/305075/1257475-0-optimized.jpg,36,0,False,23,Bungo Stray Dogs
229,305077,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/305077/1129824-0-optimized.jpg,47,0,False,25,Ace Attorney
230,305082,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/305082/62597820-0-optimized.jpg,12,0,False,25,Kabaneri of the Iron Fortress
231,305089,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/305089/62620511-0-optimized.jpg,50,0,False,24,"Re: ZERO, Starting Life in Another World"
233,305679,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/305679/1283533-0-optimized.jpg,12,0,False,25,Kiznaiver
234,306153,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/306153/1116275-0-optimized.jpg,12,0,False,25,Haven't You Heard? I'm Sakamoto
235,306743,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/306743/1118644-0-optimized.jpg,12,0,False,25,High School Fleet
236,307061,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/307061/1119793-0-optimized.jpg,50,0,False,25,Twin Star Exorcists
237,307110,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/307110/1149791-0-optimized.jpg,12,0,False,24,Servamp
239,307868,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/307868/62633022-0-optimized.jpg,13,0,False,24,Orange
240,307899,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/307899/1129618-0-optimized.jpg,76,0,False,25,Voltron: Legendary Defender
241,308030,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/308030/1123086-0-optimized.jpg,25,0,False,25,All Out!!
242,309498,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/309498/1129441-0-optimized.jpg,12,0,False,25,First Love Monster
243,309530,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/309530/1167723-0-optimized.jpg,12,0,False,24,91 Days
245,311014,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/311014/1151243-0-optimized.jpg,25,0,False,25,Tales of Zestiria the X
246,311314,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/311314/1385026-0-optimized.jpg,64,0,False,4,RWBY Chibi
249,313435,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/313435/1240423-0-optimized.jpg,48,0,False,25,The Disastrous Life of Saiki K.
250,313867,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/313867/1160949-0-optimized.jpg,12,0,False,25,"Izetta, The Last Witch"
251,315092,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/315092/1160833-0-optimized.jpg,78,0,False,5,Ninja Girl & Samurai Master
252,315094,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/315094/1154990-0-optimized.jpg,12,0,False,23,Poco's Udon World
253,315103,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/315103/1158574-0-optimized.jpg,25,0,False,25,Nanbaka
254,315164,Ended,https://dg31sz3gwrwan.cloudfront.net/poster/315164/1157970-0-optimized.jpg,12,0,False,25,Keijo!!!!!!!!
